Nombre,Resumen Editorial,Tipo de Resumen,API Utilizada,Calificación,Total de Reseñas,Dirección,Teléfono,Latitud,Longitud,Distancia (km),URL de Google Maps,Sitio Web,Horarios,Nivel de Precios,Número de Fotos,Comentarios,Comentarios_Analizados,Sentimiento_Positivo,Sentimiento_Negativo,Sentimiento_Neutral,Porcentaje_Positivos,Porcentaje_Negativos,Porcentaje_Neutrales,Score_Sentimiento_Promedio,Categoria_Sentimiento,NPS_Score,NPS_Categoria
Taquería El Portal,Taquería El Portal es una taquería excepcional con una excelente reputación entre los comensales.,Generado Automáticamente,Places API (Legacy),4.7,55.0,"Mesa los Hornos, Tlalpan, 14420 Ciudad de México, CDMX",,19.2772988,-99.1845814,3.41,https://maps.google.com/?cid=18260403179465715117,,domingo: 12:00 p.m. – 12:00 a.m.; lunes: Cerrado; martes: Cerrado; miércoles: Cerrado; jueves: 4:00 p.m. – 12:00 a.m.; viernes: 2:00 p.m. – 12:00 a.m.; sábado: 12:00 p.m. – 12:00 a.m.,,10,"Son en toda la extensión de la palabra los mejores tacos... todos no hay uno que no sepaa más o menos todos som riquiisimoss  y con queso 🧀 más una delicia  por in precio económico para lo que son con tortilla echa a mano ... altamente recomendable 👌. | Los costos son un poco elevados de lo regular, pero están muy buenos, la tortilla es hecha a mano 👍 | Todos los tacos son ricos, pero los de tripa (para mí) son los mejores. Nos quedan lejos de casa pero somos capaces de manejar más de una hora por ir a estos tacos. 👍 | De los mejores de la zona, tortilla echa a mano y de excelente tamaño 🙌🏼 el sabor del suadero excepcional!
La carne al pastor de las mejores que he probado y la arrachera super suave 😋; su salsa roja deliciosa! Si visitas la colonia mesa los hornos tienes que probarlos. | Excelente servicio, buen sazón, la salsa de molcajete ufff, carne de buena calidad y tortillas hechas a mano,tacos de buen tamaño.",5,5,0,0,100.0,0.0,0.0,1.0,Muy Positivo,100.0,Excelente
Tacos de Mixiote,Tacos de Mixiote se destaca por la calidad de sus tacos y el buen servicio al cliente.,Generado Automáticamente,Places API (Legacy),4.7,15.0,"C. Otomíes, Pedregal de las Águilas, Tlalpan, 14439 Ciudad de México, CDMX",55 3875 4090,19.2716424,-99.1738639,2.84,https://maps.google.com/?cid=9419110081410278636,,domingo: 8:00 a.m. – 2:00 p.m.; lunes: 8:00 a.m. – 4:00 p.m.; martes: 8:00 a.m. – 4:00 p.m.; miércoles: 8:00 a.m. – 4:00 p.m.; jueves: 8:00 a.m. – 4:00 p.m.; viernes: 8:00 a.m. – 4:00 p.m.; sábado: 8:00 a.m. – 2:00 p.m.,,7,"Deliciosos esos mixiotes! Son a $25 pero están llenadores y de excelente sabor, muy recomendables | Les faltó tantito sabor pero estaban muy buenos, el chico es muy amable | Les falta sabor al igual que la salsa los tacos están en $20 pesos. | Muy buenos sus mixiotes | 👌",4,3,0,1,75.0,0.0,25.0,0.65,Muy Positivo,75.0,Excelente
Taquería Brother's,Taquería Brother's es una taquería excepcional con una excelente reputación entre los comensales. Destaca por sus precios muy económicos y 156 reseñas de clientes satisfechos.,Generado Automáticamente,Places API (Legacy),4.7,156.0,"Yaquis 53, Tlalcoligia, Tlalpan, 14430 Ciudad de México, CDMX",55 6962 5140,19.2765049,-99.1713842,2.28,https://maps.google.com/?cid=15128620272965186154,,domingo: 3:30 p.m. – 12:00 a.m.; lunes: Cerrado; martes: 3:30 p.m. – 12:30 a.m.; miércoles: 3:30 p.m. – 12:30 a.m.; jueves: 3:30 p.m. – 12:30 a.m.; viernes: 3:30 p.m. – 12:30 a.m.; sábado: 3:30 p.m. – 12:30 a.m.,$$,10,"Muy rico todo!! Los tacos de cabeza están muy buenos, la birriamen de muy buen tamaño... el servicio y la atención muy agradables... algo carito para el tamaño de los tacos pero están muy ricos. | Excelente sabor y el servicio inigualable, muy ricos los tacos y el consomé. Sin duda regresaría! | Un muy buen lugar para comer en la zona sur en Tlalpan, unos tacos, burros de diez...
La carne muy bien hecho, con poca grasa y muy calientito...
Sus aguas frescas geniales...
Para ir varias veces... | Muy buenos tacos no están sazonados de más ni de menos están muy buenos recomiendo 100/10 ir a estos deliciosos tacos lamentablemente les hice sentir una desagradable experiencia al pedir a domicilio así q si alguien de los brodhers lee esto perdón de verdad perdón y sus tacos para mí son los mejores q he probado | Los únicos que venden esta delicia por la zona, la atención súper buena. 👍🏼",5,5,0,0,100.0,0.0,0.0,1.0,Muy Positivo,100.0,Excelente
Taqueria Angie,Taqueria Angie es una taquería excepcional con una excelente reputación entre los comensales.,Generado Automáticamente,Places API (Legacy),4.7,67.0,"Hecelchakán, Lomas del Pedregal, Tlalpan, 14220 Ciudad de México, CDMX",55 8430 4045,19.2745604,-99.2182294,6.85,https://maps.google.com/?cid=1285477863589824106,,domingo: Cerrado; lunes: 6:00 p.m. – 12:30 a.m.; martes: 6:00 p.m. – 12:30 a.m.; miércoles: 6:00 p.m. – 12:30 a.m.; jueves: 6:00 p.m. – 12:30 a.m.; viernes: 6:00 p.m. – 12:30 a.m.; sábado: 6:00 p.m. – 12:30 a.m.,,9,"Los tacos de Tripa son de los mejores de la zona el suadero y longaniza son buenos nada fuera de lo común son muy amables pero Lentos que te puedes desesperar si traes hambre o prisa | Muy ricos aunque algo pequeños, pero por el precio esta muy bien $13 c/taco | Ricos y de buen precio considerando su tamaño ya que son los pequeños tradicionales pero bien surtidos, los refrescos no siempre están fríos pero los de cabeza muy buenos . El servicio excelente así como sus salsas . | Deliciosos tacos, cien por ciento el sabor defeño! | Probé un taco para ver qué tal y termine comprando más de 20, el suadero es delicioso, grasoso por fuera y tierno y jugoso por dentro, me quedé con ganas de los de tripa porque ya no había pero seguro regresaré pronto porque si el suadero está rico, imaginense la tripita, los recomiendo ampliamente, además de amables y rápidos. No cambien porfavor y si lo hacen que sea para seguirnos quitándonos el antojo con esos ricos tacos.",5,5,0,0,100.0,0.0,0.0,1.0,Muy Positivo,100.0,Excelente
Taqueria Los Gavilanes,"Taqueria Los Gavilanes es una taquería muy popular y bien valorada, destacada por su excelente calidad y servicio. Cuenta con más de 607 reseñas que respaldan su reputación.",Generado Automáticamente,Places API (Legacy),4.5,607.0,"Tixmehuac, Pedregal de San Nicolás 4ta Secc, Tlalpan, 14100 Ciudad de México, CDMX",55 2966 1585,19.2785744,-99.2325118,8.23,https://maps.google.com/?cid=7395880427467797049,,domingo: 6:00 p.m. – 2:00 a.m.; lunes: 4:00–11:00 p.m.; martes: 4:00–11:00 p.m.; miércoles: 4:00–11:00 p.m.; jueves: 4:00–11:00 p.m.; viernes: 4:00–11:00 p.m.; sábado: 6:00 p.m. – 2:00 a.m.,,10,"Buenos tacos para el antojo, el alambre de pastor es muy bueno, no tienen estacionamiento, es sobre la calle y pasan muchos camiones y otros vehículos. Vayan caminando o pidan para llevar, es más práctico. El servicio puede llegar a ser un poco tardado por la cantidad de órdenes. | El lugar esta limpio y tiene mesas amplias.
El menú es variado y tiene opciones innovadoras como los tacos de aguacate con suadero, bistec, etc., solo que pedí un agua embotellada (venía en el menú) y comentaron que no tenían.
Los alimentos saben bien y la atención es muy ágil. | Excelente atención, rapidez y muy buen sabor. | Recomendadisimos los tacos 🌮 de aguacate 🥑 🤤
Excelente servicio
Precios bastante accesibles | Exelente lugar,me llevo mi cuñado y deliciosos los tacos ya esta en mi lista",5,5,0,0,100.0,0.0,0.0,1.0,Muy Positivo,100.0,Excelente
"Taqueria ""Los Agaves"" pulque fino","Taqueria ""Los Agaves"" pulque fino se destaca por la calidad de sus tacos y el buen servicio al cliente.",Generado Automáticamente,Places API (Legacy),4.3,4.0,"José María Morelos 24, San Andrés Totoltepec, Tlalpan, 14400 Ciudad de México, CDMX",,19.2530779,-99.1705441,4.42,https://maps.google.com/?cid=12911919606635050738,,,,0,"Los tacos están buenos, lo mejor de este lugar es el pulque, hay natural y curados, de los mejores de la colonia, tienen que venir a probarlos.. | Están ricos |  | ",2,2,0,0,100.0,0.0,0.0,0.6,Muy Positivo,100.0,Excelente
Shalom Taqueria,Shalom Taqueria se destaca por la calidad de sus tacos y el buen servicio al cliente.,Generado Automáticamente,Places API (Legacy),4.7,3.0,"C. Xochitlalli, San Andrés Totoltepec, Tlalpan, 14400 Ciudad de México, CDMX",,19.2520895,-99.1643758,4.33,https://maps.google.com/?cid=8640964738881126895,,,,1, |  | ,0,0,0,0,0.0,0.0,0.0,0.0,Sin Datos,0.0,Sin Datos
Taquería Don Claudio y Antojitos Hilda,"Taquería Don Claudio y Antojitos Hilda es una taquería muy popular y bien valorada, destacada por su excelente calidad y servicio. Cuenta con 227 reseñas de clientes satisfechos.",Generado Automáticamente,Places API (Legacy),4.7,227.0,"C. Melchor Pérez de Soto 5B, Miguel Hidalgo 3ra Secc, Tlalpan, 14250 Ciudad de México, CDMX",,19.2784173,-99.204168,5.32,https://maps.google.com/?cid=7218036454352178243,,"domingo: 11:00 a.m. – 2:30 p.m., 5:30–10:30 p.m.; lunes: 6:00–10:30 p.m.; martes: 6:00–10:30 p.m.; miércoles: 12:00–2:30 p.m., 5:30–11:00 p.m.; jueves: 12:00–4:30 p.m., 6:00–11:00 p.m.; viernes: 12:00–11:00 p.m., 11:30 p.m. – 12:00 a.m.; sábado: 12:00–11:00 p.m., 11:30 p.m. – 12:00 a.m.",,9,"Pedía seguido a domicilio, y la última vez me llegó carne roja en los tacos de cabeza horrible asquerosa casi me vómito, los tacos de tripa super mal sin sabor y super duros. Muy mal servicio y gastas por algo que no vale para nada la pena. Pésimo servicio y sabor | En general bien, los tacos muy buenos.
El punto a mejorar es en el consumo en el lugar, no hay donde sentarse y la mesita que hay para preparar tus tacos es muy pequeña. | PÉSIMO SERVICIO. CARNE CASI CRUDA Y CON MUCHA GRASA. Desde que el dueño falleció sus tacos cambiaron drasticamente, antes te daban lo que pedías y la atención era buena. Hay como 10 hombres de personal y 3 o 4 taqueros y aún así no nos dieron lo que ordenamos, la carne estaba apenas cocida, no tenían casi clientes. Se les hizo saber en persona para que SE FIJEN si quieren conservar su clientela. SI TE GUSTA QUE TE DEN LO QUE NO PEDISTE Y CON BASTANTE GRASA EN PORCIONES PEQUEÑAS Y CON POCA CARNE, ADEMÁS DE CARO ES LA OPCIÓN. | Muy buenos tacos creo que deberian poner otra mesa cuando se llena no es suficiente | La calidad a bajado , el que despacha los de pastor y alambres te atiende de mala gana le pides que si te puede dorar la carne en la plancha y te hace mala cara , y te los da de mala gana",5,2,3,0,40.0,60.0,0.0,-0.2,Neutral,-20.0,Malo
Taquería chinas,Taquería chinas se destaca por la calidad de sus tacos y el buen servicio al cliente.,Generado Automáticamente,Places API (Legacy),5.0,3.0,"Av. México Ajusco 5, Magdalena Petlacalco, Tlalpan, 14490 Ciudad de México, CDMX",55 6508 7559,19.2337373,-99.1763893,6.65,https://maps.google.com/?cid=13009124187607636740,,domingo: Cerrado; lunes: 9:00 a.m. – 6:00 p.m.; martes: 9:00 a.m. – 6:00 p.m.; miércoles: 9:00 a.m. – 6:00 p.m.; jueves: 9:00 a.m. – 6:00 p.m.; viernes: 9:00 a.m. – 6:00 p.m.; sábado: Cerrado,,10,Excelente..! |  | ,1,0,0,1,0.0,0.0,100.0,0.067,Neutral,0.0,Pasivo
Taqueria Sandy,Taqueria Sandy es una taquería local con buenas calificaciones que ofrece auténtica comida mexicana.,Generado Automáticamente,Places API (Legacy),4.0,15.0,"C. la Joya, Tierra Colorada, La Magdalena Contreras, 10900 CDMX",,19.27557,-99.2437799,9.46,https://maps.google.com/?cid=3862940046373815394,,,,0,"Comienza el buen fin y sin ofertas atractivas, y solo por línea te encuentras algo pero si vas a la sucursal te niegan la venta por qué solo es en línea.  Mal mal mal...aclaro fue en la bodega alianza de contreras no fue en la taquería Sandy. Yo opine por la bodega alianza. Que pasa Google? | Ha bajado la calidad de los diferentes alimentos de este establecimiento, ya que se ve que los ingredientes para prepararlos son de hace tiempo atras. MUY MALA CALIDAD
P.D. Si vas a comer en este lugar, prepárate para después ir al médico. | Muy buena comida, sin duda el mejor chorizo argentino con queso que eh comido. | Muy delicioso,la carne muy suave. Exelente | Buen servicio y limpieza",5,2,1,2,40.0,20.0,40.0,0.2,Positivo,20.0,Pasivo
Taqueria Los Mixes Nueva Administración Junio 2025,"Taqueria Los Mixes Nueva Administración Junio 2025 es una taquería muy recomendada, conocida por ofrecer comida de calidad consistente. Destaca por sus precios muy económicos y más de 507 reseñas que respaldan su reputación.",Generado Automáticamente,Places API (Legacy),4.0,507.0,"Carr. Picacho-Ajusco 1012, Miguel Hidalgo 3ra Secc, Tlalpan, 14250 Ciudad de México, CDMX",,19.2764963,-99.20854,5.82,https://maps.google.com/?cid=4040135055100630956,,domingo: 4:30 p.m. – 1:00 a.m.; lunes: 4:30 p.m. – 1:00 a.m.; martes: 4:30 p.m. – 1:00 a.m.; miércoles: 4:30 p.m. – 1:00 a.m.; jueves: 4:30 p.m. – 1:00 a.m.; viernes: 4:00 p.m. – 2:00 a.m.; sábado: 4:00 p.m. – 2:00 a.m.,$$,10,"Si pagas con tarjeta  te cobran la comicion a tí como cliente, cuando se sabe, y esta prohibido cobrar la comicion a los clientes 😠😠
Cobran el 4% | A este lugar lo visité 2 veces y me agrado el sazón y el tamaño de las porciones, solo q en el segundo día la mesera nos quiso cobrar de más en una cuenta de 160 pesos, 110 pesos de más osea 270 y claro nos percatamos, entonces le comentamos y se hizo la distraída, así q cuidado cuando vayan, chequen bien la cuenta (no porq llegues en un carro de lujo significa q te pueden tranzar con la cuenta) Volviendo al tema, los tacos al pastor están buenos, las salsas muy buenas, los nopales pidan orden porq sino se los cobran más caro, el alambre esta grande, el queso q ocupan está bien. La calidad de servicio le doy un 6 de 10. No regresaría solo por lo q hizo la mesera | Tuve la oportunidad de ir a probar los tacos de los Mixes y realmente son buenos, sin embargo el servicio es un poco brusco, pareciera que nos están haciendo un favor al llevarnos la comida. El lugar es bastante sencillo y en algunos momentos  tuve la oportunidad de ver algunas sillas de algunas mesas bastante sucias. En general si se te antojan este tipo de tacos, que suelen ser de pastor, es un buen lugar. Sin embargo, ve con la idea de que el trato no va a ser el mejor por parte de las personas que atienden el lugar y que en algunas partes no va a estar tan limpio como pudieras esperar. | Antes estaban ricos, pero últimamente la calidad ha empeorado pues ya no tiene sabor la carne, tampoco las salsas, los tacos cada vez tienen menos carne,y te dan limones pasados, además te dan tibios los tacos. Yo era cliente muy frecuente pero al perder calidad y sabor ya no.

Le falta alguien que tenga sazón y sepa preparar los productos que ofrecen. | Este lugar era bueno hace unos años, ahora los chicos tienen un pésimo servicio al cliente que espero puedan mejorar.
No entregan la cuenta desglosada a demás de que no recuerdan tu orden si la pides sin verdura o tal como la pides.",5,2,1,2,40.0,20.0,40.0,0.2,Positivo,20.0,Pasivo
